Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3,Temporal_Class
gene-PA4087,host,gene-PA4087,2.8903717578961645,3.295836866004329,2.772588722239781,2.70805020110221,3.1780538303479458,2.5649493574615367,1.9459101490553132,2.8903717578961645,2.6390573296152584,1.791759469228055,2.0794415416798357,1.6094379124341003,early
gene-PA1284,host,gene-PA1284,5.049856007249537,5.8289456176102075,5.099866427824199,4.736198448394496,6.156978985585555,4.727387818712341,4.248495242049359,5.14166355650266,4.836281906951478,4.248495242049359,4.844187086458591,4.718498871295094,early
gene-PA4742,host,truB,7.890956716138919,8.030084094267563,8.207674424355282,8.4252971767117,8.869257522797287,9.01127949117793,8.56331312702979,9.047821442478408,8.585972706811063,8.405814603432848,8.742893471512136,8.708969906980947,middle
gene-PA0787,host,gene-PA0787,5.929589143389895,6.598509028614515,6.559615237493242,5.43372200355424,6.129050210060545,5.752572638825633,5.220355825078324,5.517452896464707,5.627621113690637,5.389071729816501,5.552959584921617,5.407171771460119,early
gene-PA3255,host,gene-PA3255,6.111467339502679,6.843749949006225,6.448889394146858,5.986452005284438,6.892641641172089,6.448889394146858,5.5254529391317835,6.401917196727186,6.419994928147142,5.749392985908253,6.198478716492308,6.282266746896006,early
gene-PA3768,host,gene-PA3768,6.721425700790643,7.9215356321335495,7.782807262839695,7.081708586105575,7.59488438721652,7.162397497355718,7.183870715062453,7.382746449738912,7.621684998724611,6.654152520183219,7.2485040723706105,7.628517626575055,early
gene-phiYY_sM2,phage,gene-phiYY_sM2,0.0,0.0,0.0,7.81923445385907,8.214735833382303,8.038512020976814,6.647688373563329,6.532334292222349,7.071573364211532,7.716906135298388,7.142827401161621,8.258422462458876,late
gene-PA3247,host,gene-PA3247,6.960347729101308,7.792761720816526,7.778211474512493,7.215975002651466,8.020927718981577,7.6004023345004,6.8679744089702925,7.54274354536855,7.587310506022615,6.922643891475888,7.172424577124845,7.323830566202317,early
gene-PA3446,host,gene-PA3446,5.541263545158426,5.099866427824199,4.5217885770490405,5.030437921392435,4.532599493153256,4.442651256490317,4.672828834461906,3.970291913552122,4.48863636973214,4.812184355372417,4.624972813284271,4.74493212836325,early
gene-PA3467,host,gene-PA3467,4.1588830833596715,4.875197323201151,4.709530201312334,3.9318256327243257,4.5217885770490405,3.9318256327243257,3.6109179126442243,3.9512437185814275,4.060443010546419,3.7612001156935624,4.02535169073515,4.127134385045092,early
gene-PA3306,host,gene-PA3306,6.049733455231958,7.042286171939743,6.928537818164665,5.707110264748875,6.395261598115449,5.575949103146316,5.43372200355424,5.7430031878094825,5.846438775057725,5.676753802268282,6.037870919922137,5.707110264748875,early
gene-PA0421,host,gene-PA0421,7.210079628170788,7.105786129481271,6.80903930604298,6.5337888379333435,8.078688229229872,7.553286605600419,6.643789733147672,7.328437352895162,7.01571242048723,6.939253946041508,7.351158226430694,7.30854279753919,early
gene-PA3923,host,gene-PA3923,5.560681631015528,6.918695219020472,6.037870919922137,4.727387818712341,5.429345628954441,5.1647859739235145,4.356708826689592,4.574710978503383,5.159055299214529,4.6913478822291435,4.553876891600541,4.343805421853684,early
