Geneid,Entity,Symbol,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Temporal_Class
gene-CPT_phageK_gp113,phage,gene-CPT_phageK_gp113,,0.0,0.0,3.044522437723423,0.0,0.6931471805599453,4.852030263919617,2.4849066497880004,4.382026634673881,7.594381242551817,5.6240175061873385,7.8551570058813445,8.768574284141687,8.313116702819253,8.506738733512378,8.071218539969863,8.019612794400267,8.030084094267563,7.455876687491824,7.305860032684009,7.033506484287697,middle
gene-CPT_phageK_gp092,phage,gene-CPT_phageK_gp092,0.0,0.0,0.0,1.791759469228055,0.0,0.0,4.51085950651685,1.9459101490553132,3.871201010907891,7.304515946460155,5.476463551931511,7.299797366758161,7.9603236291488395,7.682021510826875,7.549082710812286,6.405228458030842,6.598509028614515,6.709304340258298,5.87493073085203,5.783825182329737,6.037870919922137,middle
gene-CPT_phageK_gp119,phage,gene-CPT_phageK_gp119,0.0,0.6931471805599453,0.0,5.313205979041787,1.9459101490553132,1.0986122886681098,4.68213122712422,3.2188758248682006,3.4965075614664802,8.09925056179696,6.501289670540389,8.767017621311778,9.870706063011749,9.700330435154035,10.026545540027982,10.036356225610552,10.139389369949,10.316193052299786,9.648272670221848,10.029811785869622,9.235813167949214,late
gene-CPT_phageK_gp118,phage,gene-CPT_phageK_gp118,0.0,0.0,0.0,4.04305126783455,0.6931471805599453,1.0986122886681098,2.4849066497880004,1.6094379124341003,2.302585092994046,6.652863029353347,4.875197323201151,7.218176838403408,8.535229553902337,8.183118079394745,8.533066540572527,8.613775289262481,8.73294952429643,8.896724917497897,8.345692873253865,8.60922527686273,7.857867559331803,late
gene-CPT_phageK_gp010,phage,gene-CPT_phageK_gp010,0.0,0.0,0.0,1.791759469228055,0.0,1.3862943611198906,5.087596335232384,2.6390573296152584,4.882801922586371,6.511745329644728,5.2574953720277815,6.07993319509559,6.230481447578482,6.126869184114185,5.683579767338681,4.962844630259907,4.77912349311153,5.075173815233827,4.709530201312334,4.219507705176107,4.718498871295094,middle
gene-CPT_phageK_gp164,phage,gene-CPT_phageK_gp164,0.0,0.0,0.0,0.0,0.0,0.0,3.367295829986474,0.6931471805599453,2.3978952727983707,5.7430031878094825,3.6375861597263857,5.0238805208462765,5.983936280687191,4.969813299576001,5.056245805348308,4.9344739331306915,4.465908118654584,4.812184355372417,4.59511985013459,4.189654742026425,4.143134726391533,middle
gene-CPT_phageK_gp168,phage,gene-CPT_phageK_gp168,0.0,0.0,0.0,6.035481432524756,1.0986122886681098,0.0,2.5649493574615367,1.3862943611198906,1.791759469228055,5.225746673713202,3.784189633918261,5.2832037287379885,6.559615237493242,6.274762021241939,6.210600077024653,9.214133170214879,8.55468163582723,10.257519005529442,10.801186523719151,10.243560441877241,10.816573153461334,late
gene-CPT_phageK_gp033,phage,gene-CPT_phageK_gp033,0.0,0.0,0.0,2.70805020110221,1.0986122886681098,1.6094379124341003,5.940171252720432,3.8066624897703196,5.736572297479192,7.898411092811599,6.393590753950631,7.501082124259871,8.231908243564177,7.532088143541722,7.411556287811163,6.948897222313312,6.806829360392176,7.165493475060845,6.326149473155099,6.091309882077698,6.520621127558696,middle
gene-CPT_phageK_gp175,phage,gene-CPT_phageK_gp175,0.0,0.0,0.0,6.18826412308259,1.0986122886681098,1.0986122886681098,2.6390573296152584,2.5649493574615367,2.6390573296152584,,3.6375861597263857,4.736198448394496,6.814542897259958,6.413458957167357,7.038783541388542,9.829302654346751,9.428993858017527,10.446102498791525,10.806976692573075,10.480353693878078,10.459124004835836,late
gene-CPT_phageK_gp101,phage,gene-CPT_phageK_gp101,0.0,0.6931471805599453,0.0,4.634728988229636,1.0986122886681098,1.791759469228055,5.66988092298052,3.258096538021482,4.727387818712341,8.646465527120377,6.410174881966167,8.990067695753655,9.958591078762153,9.316590491818841,9.649498121050817,9.447781227991216,9.453600226875217,9.520688614926875,9.187071745036828,9.070388411548738,8.727616178321068,middle
gene-CPT_phageK_gp139,phage,gene-CPT_phageK_gp139,0.0,0.0,0.0,2.5649493574615367,0.0,0.0,4.0943445622221,1.6094379124341003,3.4657359027997265,7.329093736246592,5.375278407684165,7.337587743538596,8.595819511871428,7.920083199053234,8.173293438966228,7.199678345691172,7.539027055823995,7.343426229147367,6.489204931325317,6.63200177739563,6.342121418721152,middle
gene-CPT_phageK_gp013,phage,gene-CPT_phageK_gp013,0.0,0.0,,1.791759469228055,0.0,0.0,3.6888794541139363,1.6094379124341003,3.58351893845611,6.194405391104672,4.406719247264253,6.504288173536645,7.413970290190444,6.63200177739563,6.92461239604856,6.728628613084702,6.400257445308821,6.831953565565855,6.20050917404269,5.662960480135946,5.808142489980444,middle
gene-CPT_phageK_gp137,phage,gene-CPT_phageK_gp137,,0.6931471805599453,0.0,3.2188758248682006,0.6931471805599453,0.0,4.584967478670572,1.791759469228055,3.4657359027997265,7.527255919373784,5.84354441703136,7.776115477098742,9.004791129062925,8.329175442077402,8.678291111758565,8.003363058629947,8.326516830239528,8.016647877057803,7.221835825288449,7.422373700986824,6.885509670034818,middle
gene-CPT_phageK_gp032,phage,gene-CPT_phageK_gp032,0.0,0.0,0.0,3.871201010907891,0.6931471805599453,0.0,2.0794415416798357,0.6931471805599453,0.0,4.804021044733257,3.044522437723423,5.560681631015528,6.5722825426940075,5.978885764901122,6.236369590203704,7.416378479192928,6.915723448631314,7.958576903813898,8.521981708148035,7.682943169878292,8.043342170441608,late
gene-CPT_phageK_gp112,phage,gene-CPT_phageK_gp112,,0.0,0.0,3.970291913552122,0.6931471805599453,0.0,5.402677381872279,2.5649493574615367,4.653960350157523,8.216088098632316,6.169610732491456,8.553525120663627,9.457044187699406,8.996156562033445,9.194617411510947,8.856945756159021,8.917444732471514,8.893572718629306,8.366602832783736,8.253227645581772,7.897668150726906,middle
gene-CPT_phageK_gp114,phage,gene-CPT_phageK_gp114,0.0,0.0,,4.454347296253507,1.0986122886681098,0.0,2.0794415416798357,0.0,0.6931471805599453,,2.6390573296152584,4.584967478670572,5.666426688112432,5.823045895483019,5.918893854273146,7.1316985104669115,6.740519359606223,8.157657015196472,9.138629524422182,8.684231891345675,9.497397249034046,late
gene-CPT_phageK_gp123,phage,gene-CPT_phageK_gp123,,0.6931471805599453,0.0,3.367295829986474,0.6931471805599453,1.3862943611198906,4.02535169073515,2.1972245773362196,2.9444389791664403,7.561121589530238,5.529429087511423,8.00736706798333,9.078635880978755,8.61323037961318,8.889583991794973,8.478660241699453,8.565411763686711,8.6328406149422,7.880048200971577,8.019941687677365,7.555905093611346,middle
