Geneid,5_R1,5_R2,5_R3,15_R1,15_R2,15_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-phage515_00138,1729,1966,1599,10755.0,12503.0,16447.0,18665.0,10786.0,10546.0,phage,nrdI
gene-phage515_00151,4023,4389,3730,16214.0,17956.0,23276.0,19123.0,10676.0,10440.0,phage,gene-phage515_00151
gene-phage515_00177,5693,6383,5677,12091.0,12645.0,18829.0,17652.0,14742.0,8463.0,phage,sci
gene-phage515_00068,3545,4746,3889,8185.0,8652.0,12400.0,8083.0,8297.0,4689.0,phage,gene-phage515_00068
gene-phage515_00116,1792,1784,1839,1713.0,1554.0,2547.0,7683.0,4224.0,3582.0,phage,gene-phage515_00116
gene-phage515_00094,488,532,493,1808.0,2529.0,3225.0,39115.0,14130.0,17664.0,phage,prt
gene-phage515_00091,1908,2358,1816,16714.0,22927.0,29832.0,172358.0,90686.0,75380.0,phage,mbpF
gene-phage515_00197,4306,5020,4511,12212.0,11584.0,17398.0,17925.0,12815.0,9218.0,phage,gene-phage515_00197
gene-phage515_00092,71,61,55,193.0,225.0,318.0,2294.0,1447.0,1393.0,phage,mbpE
gene-phage515_00077,85,109,98,333.0,302.0,410.0,1512.0,747.0,612.0,phage,gene-phage515_00077
gene-phage515_00186,4154,4492,4162,5863.0,5568.0,7787.0,4945.0,4052.0,2700.0,phage,gene-phage515_00186
gene-phage515_00008,953,1239,991,3853.0,3029.0,5108.0,3752.0,3237.0,1862.0,phage,gene-phage515_00008
gene-phage515_00194,2795,3438,2582,15492.0,16597.0,23595.0,24926.0,21982.0,14344.0,phage,gene-phage515_00194
gene-phage515_00157,480,535,369,7489.0,8778.0,11420.0,21153.0,11237.0,11617.0,phage,sig
gene-phage515_00045,2564,2700,2246,9015.0,9935.0,13381.0,10235.0,8845.0,5524.0,phage,mbpR
gene-phage515_00171,735,832,640,4822.0,5559.0,7351.0,9761.0,5367.0,5080.0,phage,gene-phage515_00171
gene-phage515_00112,572,663,599,2087.0,2563.0,2998.0,28107.0,6490.0,14219.0,phage,tmpC
gene-phage515_00070,5055,5966,5317,17500.0,16800.0,27932.0,29452.0,24780.0,15393.0,phage,mbpV
gene-phage515_00066,3454,3630,3544,7441.0,8087.0,11473.0,12082.0,11656.0,7221.0,phage,gene-phage515_00066
gene-phage515_00036,2876,3329,2949,7982.0,8541.0,11293.0,8437.0,8599.0,4867.0,phage,gene-phage515_00036
gene-phage515_00034,1973,2379,1934,7318.0,7484.0,10356.0,8711.0,7695.0,5042.0,phage,gene-phage515_00034
gene-phage515_00190A,5132,5893,4847,15766.0,17338.0,22632.0,16354.0,14950.0,10031.0,phage,gene-phage515_00190A
gene-phage515_00030,3217,3444,3253,6504.0,6457.0,9094.0,7508.0,5802.0,4217.0,phage,gene-phage515_00030
gene-phage515_00184,5629,6237,5272,11535.0,10918.0,15906.0,11712.0,8157.0,5607.0,phage,gene-phage515_00184
gene-phage515_00176,3792,4180,3642,7551.0,7619.0,10920.0,9953.0,7854.0,5341.0,phage,gene-phage515_00176
gene-phage515_00010,3122,3390,3536,976.0,919.0,1672.0,1564.0,1391.0,716.0,phage,gene-phage515_00010
gene-phage515_00128,5570,6339,5523,15613.0,17790.0,24079.0,37555.0,19817.0,19511.0,phage,gene-phage515_00128
gene-phage515_00079,3162,3772,3910,2353.0,2293.0,4077.0,3335.0,3410.0,2086.0,phage,gene-phage515_00079
gene-phage515_00109,6404,7513,7123,11314.0,9354.0,17110.0,18243.0,15016.0,9519.0,phage,gene-phage515_00109
gene-phage515_00206,3631,4126,3705,5251.0,4371.0,6762.0,3643.0,3331.0,2031.0,phage,gene-phage515_00206
gene-phage515_00081,20,16,19,21.0,44.0,62.0,11425.0,3962.0,4470.0,phage,gene-phage515_00081
gene-phage515_00165,985,1081,962,5979.0,6536.0,9244.0,15215.0,10966.0,7755.0,phage,gene-phage515_00165
gene-phage515_00016,5436,6122,6026,1196.0,1161.0,1914.0,2278.0,1483.0,1024.0,phage,gene-phage515_00016
gene-phage515_00037,4474,5080,4520,10265.0,11102.0,14738.0,10317.0,10302.0,6256.0,phage,gene-phage515_00037
gene-phage515_00052,1783,2017,1580,6151.0,6807.0,8919.0,10385.0,8018.0,5591.0,phage,gene-phage515_00052
gene-phage515_00038,1933,2133,1935,2976.0,2809.0,4030.0,2856.0,2874.0,1675.0,phage,gene-phage515_00038
gene-phage515_00181,1957,2113,1859,2020.0,1833.0,2686.0,1842.0,1173.0,973.0,phage,gene-phage515_00181
gene-phage515_00163,6537,7361,6220,28245.0,31416.0,41462.0,55212.0,40143.0,26225.0,phage,gene-phage515_00163
gene-phage515_00046,5598,6247,5125,15799.0,16669.0,22631.0,17500.0,12086.0,8581.0,phage,gene-phage515_00046
gene-phage515_00133,2190,2414,2138,8027.0,8851.0,11489.0,9658.0,4680.0,5136.0,phage,asf
gene-phage515_00190,4915,5395,4621,10385.0,10721.0,14121.0,11157.0,9192.0,6113.0,phage,mbpM
gene-phage515_00231,5112,5679,5683,1092.0,1129.0,1786.0,2092.0,1397.0,953.0,phage,gene-phage515_00231
gene-phage515_00021,876,951,680,9136.0,9924.0,14109.0,16839.0,10054.0,8705.0,phage,gene-phage515_00021
gene-phage515_00076,88,106,102,427.0,360.0,593.0,1532.0,913.0,691.0,phage,gene-phage515_00076
gene-phage515_00074,37,52,36,359.0,440.0,616.0,28422.0,9817.0,11579.0,phage,holA
gene-phage515_00140,1272,1407,1015,12129.0,15626.0,20414.0,43158.0,22409.0,19917.0,phage,nrdF
gene-phage515_00185,2904,3278,2639,6050.0,5613.0,8016.0,6210.0,4090.0,2792.0,phage,mbpI
gene-phage515_00047,14127,15742,13881,29239.0,29516.0,42253.0,30728.0,22189.0,14864.0,phage,gene-phage515_00047
gene-phage515_00103,162,166,142,611.0,787.0,1049.0,45522.0,15956.0,17895.0,phage,gene-phage515_00103
gene-phage515_00024,706,730,636,4054.0,4453.0,6059.0,5578.0,2849.0,2917.0,phage,mbpT
