Geneid,Entity,Symbol,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-b0695,host,kdpD,6.3578422665081,5.181783550292085,6.304448802421981,4.955827057601261,7.6324011266014535,4.189654742026425,5.075173815233827,3.044522437723423,5.198497031265826,1.791759469228055,6.063785208687608,3.1780538303479458
gene-b3049,host,glgS,5.857933154483459,4.912654885736052,5.043425116919247,4.454347296253507,4.143134726391533,3.6635616461296463,3.332204510175204,2.70805020110221,3.7612001156935624,2.4849066497880004,4.418840607796598,2.6390573296152584
gene-T4p152,phage,7,2.302585092994046,1.6094379124341003,8.946114375560743,2.0794415416798357,,4.406719247264253,,6.333279628139691,,,,
gene-b4726,host,yabR,2.1972245773362196,0.6931471805599453,2.3978952727983707,0.6931471805599453,2.302585092994046,0.0,1.791759469228055,0.0,2.302585092994046,0.0,,0.0
gene-b2437,host,eutR,5.3612921657094255,3.295836866004329,5.123963979403259,3.8918202981106265,4.143134726391533,2.833213344056216,4.0943445622221,2.0794415416798357,4.174387269895637,0.6931471805599453,4.962844630259907,0.6931471805599453
gene-b1685,host,ydiH,7.583247524303362,3.58351893845611,6.405228458030842,4.07753744390572,5.66988092298052,3.2188758248682006,4.23410650459726,0.6931471805599453,3.58351893845611,1.3862943611198906,4.1588830833596715,1.0986122886681098
gene-b1779,host,gapA,9.973246796950981,9.49521851709523,10.40486871747412,9.441293350181875,8.503094267036737,8.671286726753637,,7.236339342754344,,6.396929655216146,6.714170529909472,6.663132695990803
gene-b3265,host,acrE,4.584967478670572,2.9444389791664403,4.5217885770490405,2.70805020110221,4.330733340286331,2.995732273553991,4.465908118654584,2.5649493574615367,4.61512051684126,2.302585092994046,5.488937726156687,2.5649493574615367
gene-b2708,host,gutQ,6.3080984415095305,4.948759890378168,6.270988431858299,4.867534450455582,4.59511985013459,3.912023005428146,4.219507705176107,2.0794415416798357,4.382026634673881,2.5649493574615367,5.10594547390058,2.772588722239781
gene-b4457,host,csrC,,9.396404915048972,10.254672453731223,8.738575192110787,,8.584851839890053,,8.575084669832014,,7.945201132412759,,7.776954403322442
gene-b3456,host,livM,6.126869184114185,6.802394763324311,6.637258031284457,7.312553498102598,5.402677381872279,6.3473892096560105,4.962844630259907,4.709530201312334,5.159055299214529,3.9318256327243257,5.963579343618446,3.970291913552122
gene-b4079,host,fdhF,5.846438775057725,5.181783550292085,6.304448802421981,5.501258210544727,5.159055299214529,4.990432586778736,5.0369526024136295,3.713572066704308,5.017279836814924,2.70805020110221,5.823045895483019,2.772588722239781
gene-b0406,host,tgt,8.482808764554406,7.483806687665835,8.609042845046117,7.831220214604293,6.839476438228843,6.959398512133975,5.75890177387728,5.579729825986222,5.6937321388027,4.962844630259907,5.541263545158426,5.117993812416755
gene-b0636,host,rlmH,7.999342952713282,5.484796933490655,7.65728279297819,6.519147287940395,6.091309882077698,5.62040086571715,5.214935757608986,4.007333185232471,5.389071729816501,3.713572066704308,5.198497031265826,3.713572066704308
gene-b0880,host,cspD,6.437751649736401,5.472270673671475,6.040254711277414,5.236441962829949,5.2574953720277815,4.418840607796598,4.343805421853684,3.332204510175204,4.624972813284271,3.258096538021482,4.07753744390572,2.6390573296152584
gene-b3148,host,yraN,6.610696044717759,5.017279836814924,6.513230110912307,5.272999558563747,4.912654885736052,4.543294782270004,4.31748811353631,3.4965075614664802,4.04305126783455,2.995732273553991,4.77912349311153,2.772588722239781
gene-T4p002,phage,rIIA.1,2.6390573296152584,0.0,8.015987811027237,4.2626798770413155,,7.313886831633462,,8.301521654940728,,7.191429330036379,,6.416732282512326
